Country,Promedio acceso a cuenta bancaria y servicio telefonico,Promedio acceso anticonceptivo
AFG,21.8,4.5
AGO,13.7,27.8
ALB,46,31.5
ARG,44.5,68.35
ARM,24.56666667,56
AUS,98.93333333,67.35
AUT,97.46666667,65.7
AZE,22.63333333,54.9
BDI,27.4,6.4
BEL,98.5,68.6
BIH,49.83333333,45.8
BGR,89.9,63.5
BEN,15.4,17.3
BFA,23.9,19.3
BLR,70.46666667,67.6
BRA,83.4,68.6
BOL,39,66.5
CAF,15.2,6.6
CHN,84.5,70.9
CHE,97.8,72.9
CHL,57.16666667,76.3
CIV,32.4,20.15
CYP,49.2,50.7
CPV,59.9,54.5
CMR,17.03333333,28.9
COG,37.4,14.5
COL,33.96666667,80.05
COM,19.4,17.9
CRI,53.93333333,78.73333333
DEU,99.1,80.3
DJI,8.8,19
DOM,49.16666667,71.46666667
DZA,29.93333333,57.1
ECU,38.86666667,80.1
EST,69.9,65.7
EGY,14.26666667,58.5
ESP,93.63333333,71.8
FIN,99.8,85.5
FRA,94.46666667,78.4
GAB,31.1,33.9
GMB,35.6,33.5
GTM,30.8,60.6
GRC,67.4,65.8
HUN,83.7,73.8
HTI,22.4,34.4
HRV,89.9,78.7
GEO,46.1,53.4
IDN,36.03333333,61.275
IND,48.7,53.5
IRL,94.1,73.3
IRQ,11.5,52.6
IRN,80.26666667,77.4
ITA,79.7,65.1
JAM,68.9,59.7
JOR,19.8,56.5
JPN,97.3,47.25
KAZ,53.2,53.83333333
KEN,62.7,61.6
KGZ,20.6,39.1
KHM,15.23333333,53.4
KWT,21.8,35.4
LAO,29,52
LBR,21.4,25.7
LSO,31.7,56.9
LTU,74.5,68.6
LVA,79.8,68.6
LKA,74.6,61.7
MAR,54.6,46.3
KOR,93.73333333,78.35
MDG,46.6,43.5
MDV,34.5,24.6
MDA,26.93333333,59.5
MEX,31.4,69.6
MKD,69.46666667,40.2
MNE,58.13333333,23.3
MNG,90.2,54.75
MLT,68.8,67.5
MOZ,58.9,46.7
MUS,80.6,63.8
MWI,20.23333333,54.63333333
MYS,74.56666667,52.2
NPL,31.4,50.6
NER,5.566666667,15.175
NGA,29.1,19.13333333
NIC,17.3,80.4
NLD,99.13333333,73
OMN,63.5,29.7
PAK,4.933333333,32.65
PAN,35.3,62.8
PER,24.83333333,75.0125
POL,76.43333333,56.45
PLW,44.6,35.7
PRT,84.83333333,73.9
PRY,34.35,68.4
PSE,15.76666667,54.85
QAT,61.6,37.5
RUS,64.66666667,68
ROU,71.6,79.5
SAU,44.83333333,24.6
SEN,18.5,21.6
SDN,8.133333333,10.65
SLV,22.13333333,72
STP,34.2,33.5
TCD,9.8,5.2
SVN,78.9,76.8
SWZ,49.7,46.6
SGP,70.8,68.3
SRB,71.8,59.6
TKM,18.1,50.2
TJK,17.8,28.6
TGO,20.63333333,17.55
THA,75.93333333,78.85
TLS,63.5,56.8
TUN,24.5,62.5
TUR,43.83333333,73.5
UGA,24.8,35.2
UZB,43.6,37.9
USA,90.5,74.8
YEM,1.5,33.5
VNM,27.1,76.8
UKR,50.73333333,65.4
URY,41.9,79.6
ZMB,32.26666667,49
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
…………………………………………..,,
